id	A375R_RPL10a_vivo__Ronly_vehicle_rep1	A375R_RPL10a_vivo__Ronly_vehicle_rep2	A375R_RPL10a_vivo__Ronly_vehicle_rep3	A375R_RPL10a_vivo__SR_vehicle_rep1	A375R_RPL10a_vivo__SR_vehicle_rep2	A375R_RPL10a_vivo__SR_vehicle_rep3	A375R_RPL10a_vivo__Ronly_vem10d_rep1	A375R_RPL10a_vivo__Ronly_vem10d_rep2	A375R_RPL10a_vivo__Ronly_vem10d_rep3	A375R_RPL10a_vivo__SR_vem10d_rep1	A375R_RPL10a_vivo__SR_vem10d_rep2	A375R_RPL10a_vivo__SR_vem10d_rep3
137	ACAT1	2058.561065	1845.023442	1755.168559	1469.775228	1698.536461	1776.895076	1956.620882	1864.953741	1738.568995	1814.797879	2148.031902	2022.940432
138	ACAT2	1621.116839	1872.94102	1566.902006	1693.793013	2073.600068	1889.490407	1923.418555	1599.732478	1578.343241	1693.865462	1860.400421	1442.866151
139	ACBD3	2003.740689	2028.129908	2036.376828	1557.196802	1926.680247	1945.788073	1558.192952	1697.789635	1791.180436	1674.386415	1801.723598	1889.358657
140	ACBD4	187.9555755	146.9778354	164.4353436	113.8301756	126.613829	163.6150911	132.8093101	151.2881853	173.3786136	155.0207491	154.1704739	177.49907
141	ACBD5	1042.705931	868.7293288	1065.255052	859.6454863	889.8802134	1036.228911	889.5135188	797.5315447	859.7187807	845.7152908	798.4649919	886.5804063
142	ACBD6	2497.124074	2473.990045	2613.092091	1873.18937	2301.743854	2418.160675	2735.717359	2648.47712	2447.627739	2787.126976	3275.547308	3015.654303
143	ACBD7	133.1351993	143.6934145	141.7956949	159.3622459	131.3917094	148.6610237	219.2897911	121.4040993	113.5928848	212.6462631	151.8694221	134.496718
144	ACCN1	0	1.642210451	0	5.46384843	2.38894017	5.277906166	3.088588607	4.669388435	1.195714577	3.246507834	2.30105185	3.659774639
145	ACCN2	573.9357752	500.0530825	536.2022074	516.3336766	529.1502477	431.0290035	457.1111138	516.4343609	667.2087338	496.7156986	547.6503402	845.4079416
146	ACCN3	4.47513275	8.211052257	11.91560461	15.48090388	2.38894017	9.676161304	7.721471517	19.61143143	10.76143119	9.739523502	4.6021037	12.80921124
147	ACCN4	3.356349562	0	2.383120922	14.57026248	8.361290595	10.55581233	1.544294303	0.933877687	0	1.623253917	0	0
148	ACCN5	0	0	0	0	1.194470085	0	0	0	0	0.811626959	0	0
149	ACCS	100.6904869	89.50046961	91.7501555	102.9024788	52.55668374	113.4749826	108.8727484	107.395934	105.2228828	110.3812664	164.5252073	88.749535
150	ACCSL	0	0	0	0	0	0	0	0	0	0	0	0
151	ACD	1540.564449	1512.475826	1597.882578	1270.34476	1457.253504	1478.693377	1821.495131	1820.127612	1567.58181	1622.44229	1564.715258	1462.994912
152	ACE	7.831482312	5.74773658	8.340923227	20.94475231	8.361290595	13.19476541	4.63288291	6.537143809	4.782858307	10.55115046	14.95683702	21.95864783
153	ACE2	1.118783187	0.821105226	0	0	1.194470085	0	0	0	0	0.811626959	2.30105185	1.82988732
154	ACER1	0	0	0	0	0	0	0	0	0	0	0	0
155	ACER2	44.7513275	48.44520832	34.55525337	46.44271165	38.22304272	60.6959209	28.56944461	31.75184136	69.35144545	44.63948272	43.71998515	37.51269005
156	ACER3	342.3476554	374.4239829	277.6335874	433.4653088	402.5364187	368.5737806	311.1753021	373.5510748	325.2343649	344.9414574	375.0714515	282.7175909
157	ACHE	10.06904869	5.74773658	9.532483688	13.65962107	5.972350425	7.916859248	8.493618669	6.537143809	19.13143323	5.68138871	5.752629624	8.234492938
158	ACIN1	1881.793321	1835.991285	1538.304555	2180.986165	1855.012042	1854.304366	2015.304066	1816.392101	1817.486157	1843.204823	1805.175176	1645.0687
159	ACLY	4070.133236	3786.116196	3616.385999	4368.34682	5754.95687	4190.657496	4191.986887	4404.167172	4066.625275	4435.541328	4026.840737	3721.075864
160	ACMSD	0	0	0	0	0	0	0	0	0	0	0	0
161	ACN9	673.5074789	746.3846502	756.6408927	724.8705584	715.487581	706.3597752	1006.107739	713.4825528	791.5630498	741.0154131	659.251355	685.2928012
162	ACO1	862.5818375	737.3524927	701.8291115	675.6959225	914.9640852	812.7975495	816.9316865	902.1258456	699.4930274	833.5408864	865.1954955	819.7895191
163	ACO2	938.6590943	919.6378528	887.7125434	954.3521924	753.7106237	1083.730066	1226.941824	1353.188768	1184.953146	982.0686198	1157.42908	1215.04518
164	ACOT1	72.72090719	59.11957625	53.62022074	67.38746397	74.05714527	63.33487399	83.39189238	80.31348108	58.59001426	77.91618802	80.53681474	85.08976036
165	ACOT11	4.47513275	2.463315677	1.191560461	22.76603512	5.972350425	21.11162466	9.265765821	6.537143809	1.195714577	13.7976583	3.451577775	12.80921124
166	ACOT12	0	0	0	0.910641405	0	0	0	0	0	0	0	0
167	ACOT13	486.6706865	362.9285098	432.5364473	379.7374659	413.2866494	369.4534316	403.8329603	382.8898517	426.8701039	411.494868	430.2966959	449.2373369
